@relation 'Dataset 2012_x_modified'

@attribute ﻿Country {Somalia,'Congo Democratic Republic',Sudan,'South Sudan',Chad,Zimbabwe,Afghanistan,Haiti,Yemen,Iraq,'Central African Republic','Cote dIvoire',Guinea,Pakistan,Nigeria,'Guinea Bissau',Kenya,Ethiopia,Burundi,Niger,Uganda,Myanmar,'North Korea',Eritrea,Syria,Liberia,Cameroon,Nepal,Timor-Leste,Bangladesh,'Sri Lanka',Egypt,'Sierra Leone','Congo Republic',Iran,Rwanda,Malawi,Cambodia,Mauritania,Togo,Uzbekistan,'Burkina Faso','Kyrgyz Republic','Equatorial Guinea',Zambia,Lebanon,Tajikistan,'Solomon Islands',Laos,Angola,Libya,Georgia,Colombia,Djibouti,'Papua New Guinea',Swaziland,Philippines,Comoros,Madagascar,Bhutan,Mozambique,'Israel and West Bank',Bolivia,Gambia,Indonesia,Fiji,Tanzania,Ecuador,Azerbaijan,Nicaragua,Guatemala,Senegal,Lesotho,Moldova,Benin,Honduras,China,Algeria,India,'Bosnia and Herzegovina',Mali,Turkmenistan,Venezuela,Russia,Thailand,Belarus,Turkey,Morocco,Maldives,Serbia,Jordan,'Cape Verde',Gabon,'El Salvador',Tunisia,'Dominican Republic',Vietnam,'Sao Tome and Principe',Mexico,Peru,'Saudi Arabia',Cuba,Armenia,Micronesia,Guyana,Suriname,Namibia,Kazakhstan,Paraguay,Macedonia,Malaysia,Samoa,Ghana,Belize,Ukraine,Cyprus,'South Africa',Botswana,Albania,Jamaica,Seychelles,Grenada,'Trinidad and Tobago',Brazil,'Brunei Darussalam',Bahrain,Romania,'Antigua and Barbuda',Kuwait,Mongolia,Bulgaria,Croatia,Panama,Montenegro,Bahamas,Barbados,Latvia,Oman,Greece,'Costa Rica','United Arab Emirates',Hungary,Qatar,Estonia,'Slovak Republic',Argentina,Italy,Mauritius,Poland,Lithuania,Malta,Chile,Japan,Spain,Uruguay,'Czech Republic','South Korea',Singapore,'United Kingdom','United States',Portugal,Slovenia,France,Belgium,Germany,Australia,Iceland,Netherlands,Austria,Canada,Ireland,'New Zealand',Luxembourg,Norway,Switzerland,Denmark,Sweden,Finland}
@attribute Total numeric
@attribute C1 numeric
@attribute C2 numeric
@attribute C3 numeric
@attribute E1 numeric
@attribute E2 numeric
@attribute E3 numeric
@attribute P1 numeric
@attribute P2 numeric
@attribute P3 numeric
@attribute S1 numeric
@attribute S2 numeric
@attribute X1 numeric
@attribute VA numeric
@attribute GE numeric
@attribute RL numeric
@attribute PS numeric
@attribute CC numeric
@attribute POP numeric
@attribute TR {Alert,Warning,Stable,Sustainable}

@data
Uganda,96.5,8.3,8.7,7.7,7.5,8.1,6.9,8,8.6,7.8,8.8,8.2,7.9,-0.49355,-0.57002,-0.34816,-0.86897,-0.98846,3.4,Alert
Myanmar,96.2,7.5,8.6,8.7,7.6,8.7,5.7,9.4,8.4,8.6,7.9,8.2,6.9,-1.62012,-1.48139,-1.35474,-0.94367,-1.06333,0.9,Alert
'North Korea',95.5,8.1,7.7,6.6,9.3,8.6,4.4,9.9,9.4,9.6,7.9,5.3,8.7,-0.088365,-0.027809,-0.089526,-0.10486,-0.061934,1.526752,Alert
Eritrea,94.5,7.8,8.1,6.4,8.6,6.9,7.1,8.4,8.2,8.7,8.6,7.1,8.5,-2.20877,-1.44766,-1.38742,-0.7022,-0.77544,1.526752,Warning
Syria,94.5,8.5,8.7,9.2,6.3,7.5,6,9.5,7,9.4,5.5,9,7.9,-0.088365,-0.027809,-0.089526,-0.10486,-0.061934,1.526752,Warning
Liberia,93.3,7,8.4,6.5,8.6,7.7,6.7,6.9,8.8,6.1,8.4,8.9,9.3,-0.30662,-1.17373,-0.8874,-0.48448,-0.59849,2.7,Warning
Cameroon,93.1,7.9,9.2,7.5,6.5,8.1,7.5,8.9,8.1,7.8,8.2,7,6.5,-1.02158,-0.89801,-1.04152,-0.58852,-1.26132,2.7,Warning
Nepal,93,7.5,8.2,9,7.6,8.4,5.6,8,7.4,8.2,7.9,7.7,7.4,-0.64236,-0.9827,-0.7357,-1.38123,-0.81301,1.2,Warning
Timor-Leste,92.7,8.3,8.3,6.8,8,7,6.1,8.5,8.4,6.3,8.4,7.7,8.9,0.09634,-1.18081,-1.14492,-0.28483,-0.73593,2.2,Warning
Bangladesh,92.2,7.6,8.9,8.9,7.4,8.1,7.8,8.2,7.8,6.8,8,6.8,5.9,-0.40194,-0.80417,-0.9293,-1.37909,-0.84984,1.2,Warning
'Sri Lanka',92.2,8.2,9.2,9.1,5.6,8.1,7.1,8.1,5.8,8.7,7.1,8.7,6.5,-0.57528,-0.20753,-0.12238,-0.71708,-0.23679,0.8,Warning
Egypt,90.4,7,8.8,8.8,7.1,7.4,5.7,9.2,5.9,9,7.1,6.4,8,-0.088365,-0.027809,-0.089526,-0.10486,-0.061934,1.526752,Warning
'Sierra Leone',90.4,5.7,7.9,6.2,8.3,8.2,7.7,7.6,8.7,6.4,8.9,7.8,7.1,-0.32065,-1.2257,-0.85357,-0.27995,-0.95113,2.3,Warning
'Congo Republic',90.1,7,6.7,6.3,7.5,7.9,6.5,8.6,8.4,7.2,8.3,7.7,7.9,-0.088365,-0.027809,-0.089526,-0.10486,-0.061934,1.526752,Warning
Iran,89.6,8.3,9.3,8.6,6.4,6.7,6.4,8.8,5.3,8.9,5.8,7.6,7.4,-0.088365,-0.027809,-0.089526,-0.10486,-0.061934,1.526752,Warning
Rwanda,89.3,5.5,7.9,8.5,6.8,7.4,7,6.8,7.5,8,8.6,7.6,7.7,-1.27766,-0.04825,-0.27166,-0.23062,0.55795,2.6,Warning
Malawi,88.8,5.1,7.6,5.7,8.5,7.7,7.8,8,7.9,7.1,8.8,6.2,8.4,-0.20608,-0.47861,-0.21872,-0.00269,-0.47162,3,Warning
Cambodia,88.7,6.5,8,7.3,6.9,7.1,7.7,8.2,8.3,7.7,7.5,5.9,7.7,-0.96148,-0.81583,-0.97967,-0.10358,-1.0701,1.6,Warning
Mauritania,87.6,7.7,8.1,7.5,7.6,6.3,5.4,7.6,7.9,7.3,8,6.5,7.6,-0.91092,-0.90961,-0.91747,-1.13399,-0.78256,3,Warning
Togo,87.5,7.3,7.5,5.1,7.7,7.6,6.9,8.2,8.2,7.4,8.1,6.8,6.8,-0.99581,-1.31413,-0.92802,-0.38646,-1.00023,2.7,Warning
Uzbekistan,87.5,8.2,8.7,7.7,7.1,7.9,6,8.7,5.7,9.1,7,5.7,5.7,-2.03355,-0.91063,-1.29021,-0.51874,-1.30156,1.5,Warning
'Burkina Faso',87.4,7.1,7.3,5.2,7.7,8.2,6,8,8.4,7,8.9,5.9,7.7,-0.30497,-0.62399,-0.4368,-0.57313,-0.47889,3,Warning
'Kyrgyz Republic',87.4,7.4,8.3,8.4,7.9,7.3,6.7,8.7,5.4,7.8,6.5,5.3,7.6,-0.6111,-0.6495,-1.12948,-0.91125,-1.14959,1.7,Warning
'Equatorial Guinea',86.3,7.8,8.2,6.6,4.8,8.8,6.9,9.4,7.8,9.1,8.2,3,5.7,-1.90504,-1.60611,-1.29562,0.2327,-1.52386,4.4,Warning
Zambia,85.9,5.3,6,6.3,8.1,7.7,7.1,8,7.7,6.4,9.1,7.3,7,-0.13283,-0.47618,-0.3652,0.66096,-0.28429,3,Warning
Lebanon,85.8,8.4,9.1,8.4,5.5,6.5,6.3,7.5,5.5,6.5,6.2,8.2,7.7,-0.38583,-0.34678,-0.75104,-1.66481,-0.86941,6.9,Warning
Tajikistan,85.7,7.1,8.3,6.9,7.7,6.5,5.7,8.8,6.6,8.5,7.3,5.6,6.7,-1.4224,-0.93113,-1.20041,-1.24086,-1.27563,2.3,Warning
'Solomon Islands',85.6,6.7,8,6.8,7.9,8.3,5.4,7.6,7.8,6.2,7.6,4.8,8.5,-0.02855,-0.80601,-0.54,0.18732,-0.3581,2.2,Warning
