@relation 'Dataset 2014_x_modified'

@attribute ﻿Country {'South Sudan',Somalia,'Central African Republic','Congo Democratic Republic',Sudan,Chad,Afghanistan,Yemen,Haiti,Pakistan,Zimbabwe,Guinea,Iraq,'Cote dIvoire',Syria,'Guinea Bissau',Nigeria,Kenya,Ethiopia,Niger,Burundi,Uganda,Eritrea,Liberia,Myanmar,'North Korea',Cameroon,Mauritania,Bangladesh,'Sri Lanka',Egypt,Nepal,Timor-Leste,Rwanda,'Sierra Leone',Mali,'Congo Republic',Malawi,'Burkina Faso',Cambodia,Libya,Togo,Angola,Iran,Djibouti,Lebanon,'Solomon Islands',Uzbekistan,Zambia,Mozambique,Swaziland,'Equatorial Guinea',Philippines,Comoros,Tajikistan,Laos,'Papua New Guinea','Kyrgyz Republic',Colombia,Gambia,Madagascar,Senegal,Georgia,Bhutan,Tanzania,Guatemala,'Israel and West Bank',China,Fiji,Bolivia,Algeria,Lesotho,Nicaragua,Benin,Turkmenistan,Honduras,Azerbaijan,Tunisia,Ecuador,Thailand,India,Indonesia,Jordan,Venezuela,Russia,'Bosnia and Herzegovina','Sao Tome and Principe',Maldives,Moldova,Belarus,Micronesia,Morocco,'Cape Verde',Turkey,'Dominican Republic','Saudi Arabia',Peru,Vietnam,Gabon,'El Salvador',Serbia,Paraguay,Namibia,Armenia,Mexico,Guyana,Cuba,Ghana,Suriname,Samoa,Kazakhstan,Cyprus,Ukraine,Belize,'South Africa',Macedonia,Malaysia,Grenada,Jamaica,Bahrain,Botswana,Seychelles,Albania,'Brunei Darussalam',Brazil,'Trinidad and Tobago','Antigua and Barbuda',Kuwait,Mongolia,Romania,Montenegro,Panama,Bulgaria,Bahamas,Oman,Croatia,Greece,Barbados,Qatar,'Costa Rica',Hungary,Latvia,'United Arab Emirates',Argentina,Mauritius,'Slovak Republic',Estonia,Italy,Lithuania,Spain,Malta,Poland,Chile,'Czech Republic',Uruguay,'South Korea',Japan,Singapore,'United States',France,'United Kingdom',Portugal,Slovenia,Belgium,Germany,Netherlands,Austria,Canada,Australia,Ireland,Iceland,Luxembourg,'New Zealand',Switzerland,Norway,Denmark,Sweden,Finland}
@attribute Total numeric
@attribute C1 numeric
@attribute C2 numeric
@attribute C3 numeric
@attribute E1 numeric
@attribute E2 numeric
@attribute E3 numeric
@attribute P1 numeric
@attribute P2 numeric
@attribute P3 numeric
@attribute S1 numeric
@attribute S2 numeric
@attribute X1 numeric
@attribute VA numeric
@attribute GE numeric
@attribute RL numeric
@attribute PS numeric
@attribute CC numeric
@attribute POP numeric
@attribute TR {Alert,Warning,Stable,Sustainable}

@data
Thailand,77,7.9,9.5,8,3.6,6.1,3.8,7.1,4.9,7.4,7.6,6.5,4.6,-0.87478,0.33795,-0.19137,-0.90639,-0.45027,0.4,Warning
India,76.9,7.9,6.8,7.8,5.7,7.8,5.2,5.3,7,5.6,7.7,5.1,5,0.41329,-0.20565,-0.06325,-0.99791,-0.42802,1.2,Warning
Indonesia,76.8,6.5,7,7.6,5.5,6.6,6,6.5,6,6.2,7.4,5.9,5.6,0.1539,-0.03721,-0.34218,-0.41682,-0.56177,1.2,Warning
Jordan,76.7,5.5,6.9,7.4,6.6,6.2,3.9,6.4,5,7.3,6.7,8.3,6.5,-0.75365,0.11684,0.46421,-0.54003,0.13568,4.6,Warning
Venezuela,76.7,6.2,7.7,6.8,5.5,6.9,5.5,7.7,7.5,7.8,5.4,5.1,4.6,-0.060882,-0.01826,-0.040151,-0.096233,-0.068721,1.467516,Warning
Russia,76.5,8.6,8.1,8.5,3.6,6.7,4.8,7.6,5,8.7,5.4,5.2,4.3,-0.060882,-0.01826,-0.040151,-0.096233,-0.068721,1.467516,Warning
'Bosnia and Herzegovina',75.9,6.5,8.7,7.4,5.5,5.9,5.8,6.8,4.4,6.1,4.1,6.8,7.9,-0.07098,-0.45114,-0.18562,-0.01918,-0.30803,-1.1,Warning
'Sao Tome and Principe',75.8,5.8,6.3,4.8,8.1,6.6,8.2,6.6,6.2,4.1,6.9,4.6,7.6,-0.060882,-0.01826,-0.040151,-0.096233,-0.068721,1.467516,Warning
Maldives,75.4,5.8,8.3,4.9,6.7,4.2,5.9,8.4,6.4,7.4,5.7,5,6.7,-0.37222,-0.36166,-0.53017,0.6791,-0.37661,2,Warning
Moldova,75.1,6.9,7.8,6.2,6.6,5.6,6.6,6.6,5.4,5.7,5.6,4.7,7.4,0.01155,-0.4184,-0.24784,-0.15899,-0.85062,-0.1,Warning
Belarus,75,6.1,8.3,7.1,6,5.5,3.7,8.8,5,8.1,5.5,3.6,7.3,-1.44287,-0.48617,-0.84031,0.17978,-0.30493,0.1,Warning
Micronesia,74.6,5.4,5.6,4.2,7.8,8.3,8.7,6.3,6,3.4,7.2,3.5,8.2,-0.060882,-0.01826,-0.040151,-0.096233,-0.068721,1.467516,Warning
Morocco,74.4,6,6.6,6.8,5.6,6.6,7.3,6.6,5.9,6.5,5.7,5.6,5.2,-0.68627,-0.07453,-0.06514,-0.44627,-0.26568,1.4,Warning
'Cape Verde',74.1,5.7,5.5,4.2,6.2,7.2,8.6,6,6.8,4.8,6.8,4.4,7.9,-0.060882,-0.01826,-0.040151,-0.096233,-0.068721,1.467516,Warning
Turkey,74.1,7.4,7.3,9,5.3,6.5,3.7,6,5.2,5.9,5.4,7.1,5.3,-0.33842,0.36524,0.00512,-1.08604,-0.14794,1.6,Warning
'Dominican Republic',73.4,4.9,6.5,6.1,5.5,6.6,7.9,5.7,6.5,5.8,6.5,5.6,5.8,0.18896,-0.43527,-0.40567,0.14593,-0.8161,1.2,Warning
'Saudi Arabia',73.1,6.9,8,7.7,3.9,6.1,3.4,8.1,4,8.8,6,4.9,5.3,-1.88201,0.20773,0.13218,-0.28584,0.08733,2.7,Warning
Peru,72.9,6.7,6.7,7.3,4.2,7.5,6.4,7.4,6.7,4.8,5.8,5,4.4,0.19252,-0.26678,-0.52107,-0.55066,-0.56032,1.3,Warning
Vietnam,72.7,5.1,6.9,6,5.7,5.8,5.5,8,5.5,7.6,6.2,5,5.4,-1.37471,-0.07045,-0.35982,-0.02235,-0.4362,1.1,Warning
Gabon,72.2,5.1,7.1,3.6,5.1,7,5.5,7.7,7.1,6.6,6.9,5.3,5.2,-0.86572,-0.64417,-0.50889,0.14954,-0.69162,3.2,Warning
'El Salvador',72,6.1,4.3,6,6.2,6.9,6.6,5.6,6.4,5.8,7.1,5.6,5.4,0.1526,-0.03273,-0.47633,-0.02459,-0.37687,0.5,Warning
Serbia,72,6.2,8,8,6.4,5.6,5,5.8,4.4,5.2,4.2,6.5,6.7,0.21261,0.08962,-0.14968,0.18411,-0.227,-0.5,Warning
Paraguay,71.6,6.2,7.8,6.2,5.4,8.7,4.9,7.4,6.4,6,5.8,2.7,4.1,-0.10284,-0.91917,-0.67316,-0.08863,-0.96966,1.3,Warning
Namibia,71.5,4.6,3.5,5.6,6.8,8.4,6.8,4.1,7,4.6,7.1,5.8,7.2,0.5533,0.1137,0.14784,0.60874,0.28853,2.3,Warning
Armenia,71.3,5.6,7.4,5.7,5.8,5.3,5.7,6.7,4.4,6.8,4.7,6.7,6.5,-0.56208,-0.19805,-0.36591,-0.29714,-0.524,0.4,Warning
Mexico,71.1,7.6,5.1,6.1,4.9,6.9,5.6,5.8,6.3,6,6.7,4.3,5.8,0.00032,0.19623,-0.42283,-0.85392,-0.76171,1.4,Warning
Guyana,71,5.5,5.1,6.2,6.7,6.5,8.8,5.6,6.3,4.1,5.9,4.1,6.2,0.15603,-0.23232,-0.61656,-0.1361,-0.74151,0.7,Warning
Cuba,70.8,6,7.2,4.8,4.8,5.9,6,6.8,4.9,7,5.9,5,6.5,-1.5448,-0.04678,-0.65777,0.54482,0.0684,0.2,Warning
Ghana,70.7,4.1,5,4.9,6,6.8,7.3,4.8,7.9,4.9,6.9,5.8,6.3,0.46325,-0.28086,0.05224,-0.10681,-0.19219,2.3,Warning
Suriname,70.6,5.7,5.8,6.1,7.1,6.9,7.4,5.8,5.5,5.2,5.6,3.3,6.2,0.51689,-0.17592,-0.13718,0.24927,-0.44328,1,Warning
Samoa,69.3,5.5,5.1,4.8,6.2,5.7,8.9,6,5.1,4.8,6.5,2.4,8.3,0.66503,0.45484,0.7174,1.1219,0.29605,0.8,Warning
Kazakhstan,68.5,6,7.6,6.5,5.9,5,3.9,7.7,4.8,7.2,5.1,3.8,5,-1.18392,-0.04269,-0.59805,0.03602,-0.83044,1.5,Warning
Cyprus,67.9,4.7,7.9,7.3,6.4,6.7,4.8,5.6,3.3,3.6,4.3,4.2,9.1,1.01997,1.14038,1.07702,0.55188,1.07578,0.7,Warning
Ukraine,67.2,4.7,8,6.4,5.5,5,5.4,8,3.9,6.1,4.5,3.4,6.3,-0.14223,-0.41342,-0.79097,-2.02083,-0.9942,-0.5,Warning
Belize,67,5.5,4.3,4.4,5.6,6.5,6.8,6,6.1,4.4,6.2,4.6,6.6,0.52009,-0.65731,-0.74515,0.04858,-0.19821,2.2,Warning
'South Africa',66.6,4.9,5.6,5.8,5.8,7.7,4.6,5,6.1,4.3,7.4,6.2,3.2,0.64212,0.34109,0.18279,-0.14639,-0.06154,1.6,Warning
Macedonia,66.4,5.7,7,7.3,5.9,5.9,5.8,5.8,4.1,4.2,3.8,5,5.9,-0.060882,-0.01826,-0.040151,-0.096233,-0.068721,1.467516,Warning
Malaysia,66.2,6.5,7,6.2,3.9,5.6,4.8,6.6,4.6,6.9,5.5,4.5,4.1,-0.3603,1.11513,0.5883,0.26662,0.41116,1.7,Warning
Grenada,65.2,5.3,5.6,3.9,6.1,5.6,8.2,6.2,3.9,4,5.5,3.5,7.4,0.90614,-0.10867,-0.16748,0.77457,0.24727,0.4,Stable
Jamaica,64.9,6,3.7,4,6.8,5.8,7.5,5.6,5.6,5.1,5.5,3.3,6,0.56257,0.13745,-0.28204,0.02449,-0.29902,0.4,Stable
Bahrain,64.7,6.2,7.1,7.6,3.5,5.4,3.3,7.9,2.5,7.8,4.9,2.9,5.6,-1.31106,0.56504,0.41372,-0.90747,0.27883,1.6,Stable
Botswana,64.5,3.2,3.3,5.1,6.4,7.8,5.3,4.1,6.3,4.6,8,5.5,4.9,0.43542,0.3524,0.63362,1.01185,0.85438,1.9,Stable
Seychelles,63.7,6.4,5.7,4.8,4.9,6.3,5.2,6,3.5,4.9,5.4,3.4,7.2,-0.04751,0.36077,0.12639,0.36163,0.43801,1.6,Stable
Albania,63.6,5,6.2,4.7,5.5,4.5,6.9,6.5,4.8,5.5,4.4,3.4,6.2,0.14376,-0.08556,-0.33786,0.48599,-0.5482,-0.2,Stable
'Brunei Darussalam',63.6,5.6,7.4,6.2,3.1,7.8,4.9,7.1,2.5,7.4,4.5,3,4.1,-0.62503,1.08634,0.47254,1.26151,0.53125,1.5,Stable
Brazil,61.4,5.6,4.9,5.6,3.6,8,3.8,5.4,5.6,5.6,6.7,3.6,3,0.47193,-0.13936,-0.04986,-0.07029,-0.33845,0.9,Stable
'Trinidad and Tobago',61.3,5.4,5.6,4.4,4.6,5.8,7.8,5.3,5.1,4.9,5.2,3.3,3.9,0.47309,0.27208,-0.09081,0.24786,-0.41355,0.5,Stable
'Antigua and Barbuda',59,4.9,3.7,4.1,4.5,5.3,7.6,5.8,4.1,4.7,4.9,3.3,6.1,0.55871,-0.06925,-0.1772,0.98455,0.6399,1.1,Stable
Kuwait,59,4.2,8,4.9,3.3,5,3.4,7.3,2.8,6.9,5.4,3.7,4.1,-0.65746,-0.1484,0.02249,0.14901,-0.24032,5,Stable
Mongolia,58.1,4.3,5.5,4,4.6,6.5,2.8,4.8,6,5.1,5.8,2.5,6.2,0.24144,-0.4355,-0.34474,0.7919,-0.47379,1.9,Stable
Romania,56.9,3.8,5.2,6.6,5.7,5,4.4,6.1,4.6,4.2,4,3,4.3,0.42813,-0.02599,0.16536,0.04914,-0.11262,-0.4,Stable
Montenegro,55.7,4.3,6.3,7,4.9,3.2,3.3,4.3,3.9,4.5,3.6,4.8,5.6,0.1603,0.26519,0.08172,0.21946,-0.05919,0.1,Stable
Panama,55.7,4.8,2.5,5.3,3.7,7.6,4.2,4.6,5.2,4.7,5.6,4,3.5,0.50563,0.26212,-0.05952,0.20901,-0.33963,1.7,Stable
Bulgaria,54.4,4.4,5.3,4.9,5.2,4.8,4.9,4.9,4.1,3.7,4.1,3.4,4.7,0.36646,0.07874,-0.04602,0.07854,-0.24687,-0.6,Stable
Bahamas,54.1,4.3,4.5,4.4,4.7,5.3,5.3,4.6,4.7,3.1,6.5,2.7,4,-0.060882,-0.01826,-0.040151,-0.096233,-0.068721,1.467516,Stable
Oman,53.1,5,6.6,2.7,4.8,3.9,2.1,6.4,4.1,7.4,5.3,2.3,2.5,-1.09071,0.2658,0.48581,0.73491,0.31005,6.5,Stable
Croatia,52.9,4.5,4.4,5.6,5,4.1,4.6,3.7,3.2,4.4,3.5,5.2,4.7,0.51494,0.69296,0.31969,0.61911,0.21904,-0.4,Stable
Greece,52.1,4.2,3.5,5.1,6.5,4,4.1,6.4,3.6,3.7,3.5,1.9,5.6,0.61876,0.39859,0.3626,-0.14045,-0.12239,-0.7,Stable
Barbados,51.4,4.2,4.2,4.4,5.8,5.4,5.9,3.3,3,2.8,4.1,3,5.3,1.14506,1.20471,1.08249,1.27792,1.13804,0.3,Stable
Qatar,48.9,2.8,5,4.9,2.9,5.1,3.4,6.2,2.3,5.9,4.6,2.1,3.7,-1.13344,0.9448,0.86401,0.97746,0.98854,5.4,Stable
'Costa Rica',48.5,2.8,3.8,4.4,4.6,5.8,3.2,3.2,4.8,2.3,4.6,4.4,4.6,1.13835,0.3966,0.5605,0.57742,0.75544,1.1,Stable
Hungary,48.3,2.6,4.9,4.4,5.6,4.6,3.6,6,3.2,4.1,2.8,2.8,3.7,0.55327,0.53344,0.50193,0.6699,0.16456,-0.3,Stable
Latvia,48,3.3,4.3,5.8,4.3,4.6,4.1,4.2,3.7,3.3,3.7,3.2,3.5,0.84943,0.95855,0.87238,0.48727,0.41537,-0.9,Stable
'United Arab Emirates',47.6,3.1,3.6,4,3.4,4.5,2.7,6.7,3.2,6.5,4.2,2.5,3.2,-1.06137,1.43552,0.65223,0.76891,1.20358,0.7,Stable
Argentina,47.3,3.3,2.8,5.3,4.3,5.7,2.7,4.3,4.1,4.4,4.2,2.3,3.9,0.34532,-0.15914,-0.88603,-0.00512,-0.54162,1,Stable
Mauritius,46.1,3.1,3.2,3.5,4.4,4.6,3.9,3.8,4.1,3.7,4.4,2.5,4.9,0.9409,1.04364,0.91284,0.66797,0.35137,0.2,Stable
'Slovak Republic',45.3,2.6,3.7,5.6,5.4,4.3,4.5,4,3.2,3,3.1,2.3,3.6,0.95959,0.87624,0.49603,1.03912,0.16274,0.1,Stable
Estonia,45.2,2.8,5.5,6.2,3.8,4,3.8,3.5,3.3,2.5,3.6,3.2,3,1.17031,1.01668,1.37289,0.78026,1.30346,-0.3,Stable
Italy,43.4,4.7,4.9,4.6,5.1,3.3,2.3,4.2,2.6,2.8,3.6,3.4,1.9,0.99926,0.37414,0.37739,0.45817,-0.02964,0.9,Stable
Lithuania,43.2,2.7,3,4,4.8,5.3,4,3.5,3.7,2.7,3.6,2.9,3,0.96159,0.98265,0.93918,0.74214,0.55886,-0.9,Stable
Spain,43.1,3.6,6.1,6.1,5.3,3.8,2.7,3.4,3,2.2,3,2,1.9,0.99373,1.15971,0.95264,0.24312,0.62984,-0.3,Stable
Malta,43,3.7,2,4,3.9,3.2,4.3,3.8,2.6,3.6,3.1,4.9,3.9,1.18427,1.02836,1.19364,1.1255,0.85174,0.9,Stable
Poland,42.1,2.6,3.8,4.1,4,3.8,4.7,3.5,3.1,2.8,3.6,3.1,3,1.10511,0.82738,0.8406,0.84294,0.63515,-0.1,Stable
Chile,42,2.8,1.7,3.8,3.9,5.4,2.9,3.3,4.2,3.7,4.6,2.6,3.1,1.05591,1.16133,1.43314,0.44752,1.4885,0.9,Stable
'Czech Republic',39.4,2.3,4.3,3.8,4.8,3.5,3.1,4.2,3.4,2.4,2.4,2.3,2.9,1.02667,1.01759,1.15218,0.98999,0.3678,0.1,Stable
Uruguay,37.9,3.4,2.7,2.7,3.5,4.5,4.4,1.6,3.7,2.2,3.8,2.2,3.2,1.10786,0.48279,0.71058,0.99188,1.37879,0.3,Stable
'South Korea',36.4,2.4,3.6,3.1,2.3,3.2,3.6,2.8,2.1,2.9,2.9,1.8,5.7,-0.060882,-0.01826,-0.040151,-0.096233,-0.068721,1.467516,Sustainable
Japan,36.3,1.9,2.6,4.1,3.6,2.1,2.3,2,2.4,3.3,4.7,3.4,3.9,1.03609,1.81249,1.60154,0.9686,1.69459,-0.1,Sustainable
Singapore,35.9,2,4,2.8,2.8,4,3.6,3.5,2.1,4.9,2.8,1.4,2,-0.09866,2.18262,1.82477,1.18627,2.07137,1.3,Sustainable
'United States',35.4,2.7,4,4.5,3.1,4.5,1.2,2.4,2.5,3.5,3.3,2.4,1.3,1.07122,1.46759,1.61047,0.58242,1.37607,0.7,Sustainable
France,34.8,2.6,1.9,6.4,4.5,4,2.2,2.1,1.8,2.2,3,2.5,1.6,1.21816,1.40317,1.47464,0.30057,1.3147,0.5,Sustainable
'United Kingdom',34.3,2.8,3.5,5.3,4,3.4,2.1,1.7,2.4,2.1,2.8,2.7,1.5,1.27579,1.62673,1.88957,0.41535,1.73848,0.8,Sustainable
Portugal,33.1,1.9,1.8,2.3,5.2,3.2,2.5,2.3,3.3,2.6,3.1,1.9,3,1.10745,0.98859,1.13753,0.80627,0.94763,-0.5,Sustainable
Slovenia,32.6,2.4,1.6,3.6,3.9,4.2,2.9,2.9,2.3,2.3,2.4,1.6,2.5,0.95611,1.00516,1.00151,0.96577,0.72678,0.1,Sustainable
Belgium,32,2.3,3.9,4.2,4,3.5,1.9,2,2.4,1.5,2.8,1.6,1.9,1.36634,1.38159,1.52344,0.70127,1.57329,0.2,Sustainable
Germany,30.6,2.4,2,4.3,2.9,3.6,2.4,1.5,1.9,1.8,2.9,3.3,1.6,1.43633,1.73139,1.85683,0.92519,1.83838,0.4,Sustainable
Netherlands,28.6,2.1,2.6,4.1,3.7,2.4,2.4,1,1.8,1.2,3.3,2.4,1.6,1.54728,1.81711,1.9804,1.04512,1.99049,0.4,Sustainable
Austria,28.5,1.4,2.7,4.6,2.2,3.7,1.8,1.6,1.8,2,2.7,2.3,1.7,1.39132,1.57259,1.95246,1.2707,1.47473,0.7,Sustainable
Canada,27.4,2.1,2.5,3.4,2.1,3.2,2.2,1.2,2.3,2.1,2.7,2.3,1.3,1.41236,1.76052,1.89068,1.1755,1.83643,1.1,Sustainable
Australia,26.3,2,1.6,3.9,2.4,3,0.9,1,2.1,2.3,3.4,2.4,1.3,1.36172,1.60711,1.9231,1.03219,1.85345,1.5,Sustainable
Ireland,26.1,2.1,1.3,1.6,4.2,2.7,3.1,1.8,2.2,1.2,2.5,1.4,2,1.3175,1.5971,1.77915,1.05299,1.60488,0.4,Sustainable
Iceland,25.9,1.3,1.8,1,3.9,1.9,3.1,1.2,1.9,1.4,1.9,1.6,4.9,1.35733,1.4914,1.70853,1.24697,1.82784,1.1,Sustainable
Luxembourg,24.6,2.3,3.4,2.8,1.8,1.8,2.4,1.6,1.6,1.3,2,1.7,1.9,1.55468,1.65443,1.90649,1.37832,2.07318,2.4,Sustainable
'New Zealand',24.1,1.4,1.1,3.8,3.9,3.1,2.2,0.5,2.1,1.1,2.4,1.2,1.3,1.52438,1.93206,2.00878,1.46793,2.25329,1.5,Sustainable
Switzerland,23.3,1.7,1,3.5,2.2,2.4,2.4,0.9,1.7,1.7,2.4,1.8,1.6,1.55949,2.11226,1.99493,1.40265,2.15152,1.2,Sustainable
Norway,23,2.8,1.1,3.7,2,1.7,1.9,0.5,1.7,1.6,2.3,2.2,1.5,1.68409,1.82846,2.02905,1.11996,2.22657,1.1,Sustainable
Denmark,22.8,1.8,1.4,3.4,2.2,1.8,2,0.8,1.7,1.6,2.8,1.4,1.9,1.52458,1.81901,2.09636,0.95178,2.24726,0.5,Sustainable
Sweden,21.4,2.4,1.8,1,2,1.8,1.8,0.8,1.8,1.3,2.8,2.6,1.3,1.61109,1.80389,1.99201,1.06541,2.15338,1,Sustainable
Finland,18.7,1.3,1.1,1.3,3.5,1.3,2.2,0.8,1.4,1.2,1.8,1.5,1.3,1.54192,1.99828,2.10027,1.2822,2.16577,0.4,Sustainable
