Country,Total,C1,C2,C3,E1,E2,E3,P1,P2,P3,S1,S2,X1,VA,GE,RL,PS,CC,POP,TR,,,,
Hungary,47.6,2.3,4.8,4.1,6,4.9,3.9,5.9,3.1,3.4,2.5,2.9,3.8,0.73719,0.65497,0.58269,0.79665,0.3216,-0.3,Stable,,,,
United Arab Emirates,47.3,2.9,3.6,4.3,3.5,4.8,2.4,6.5,2.9,6.4,3.9,2.5,3.5,-1.01948,1.17637,0.61902,0.89479,1.28084,1.2,Stable,,,,
Qatar,47.1,2.5,5,4.9,2.9,4.8,3.1,5.9,2,5.6,4.3,2.1,4,-0.97837,1.05772,0.95852,1.21255,1.11086,6.5,Stable,,,,
Argentina,46.1,3,2.7,5,4,6,3,4.4,3.9,4.1,4.1,2,3.8,0.27699,-0.27755,-0.70768,0.06531,-0.43228,1,Stable,,,,
Estonia,45.3,2.9,5.5,5.9,3.5,4.3,3.9,3.8,3,2.4,3.5,3.3,3.3,1.11685,0.97478,1.19848,0.74822,1.18876,-0.4,Stable,,,,
Slovak Republic,45.3,2.3,3.7,5,5.2,4.6,4.5,4.3,3.5,3,3.2,2,3.9,0.95955,0.78913,0.47855,1.11952,0.08315,0.1,Stable,,,,
Italy,44.6,5,4.8,4.7,4.8,3.6,2.6,4.7,2.4,2.9,3.8,3.3,2,0.95422,0.45848,0.4029,0.4955,0.05164,1.2,Stable,,,,
Mauritius,44.5,3.3,3.2,3.5,4.1,4.8,3.6,4.1,3.8,3.5,3.8,2.2,4.6,0.92868,0.88192,0.95007,0.9448,0.29263,0.2,Stable,,,,
Spain,44.4,4.1,6,5.8,5.5,4.1,3,3.3,3.3,2.2,2.8,2.3,2,0.98887,1.15452,1.02052,0.01202,0.90309,-0.3,Stable,,,,
Lithuania,43,2.5,3,3.7,4.5,5.2,4.1,3.8,3.4,2.9,3.8,2.9,3.2,0.94002,0.83174,0.836,0.96453,0.42603,-1,Stable,,,,
Malta,42.4,3.7,2,4,3.6,3.5,4.1,4.1,2.3,3.3,2.8,5.2,3.8,1.15657,1.25787,1.33308,1.04276,0.9835,0.9,Stable,,,,
Chile,42.3,2.9,1.4,3.5,4.1,5.5,2.8,3.8,4.3,3.5,4.9,2.4,3.2,1.10629,1.26452,1.36783,0.36374,1.54157,0.9,Stable,,,,
Poland,40.9,2.5,3.6,3.8,3.5,3.9,5,3.4,2.8,2.9,3.5,2.8,3.3,0.99814,0.72251,0.81949,0.97335,0.59602,-0.1,Stable,,,,
Czech Republic,39.9,2.1,4.2,3.8,4.5,3.8,3.4,4.1,3.7,2.4,2.5,2.2,3.2,0.98453,0.89182,1.03977,1.08478,0.2288,0,Stable,,,,
Uruguay,38.4,3.7,2.7,2.8,3.6,4.4,4.7,1.7,3.4,2.3,3.8,1.9,3.5,1.08526,0.44768,0.56428,0.80474,1.37513,0.3,Stable,,,,
Japan,36.1,1.7,2.6,3.8,3.7,1.8,2,2.2,2.5,3,5.4,3.7,3.7,1.10965,1.61807,1.44371,1.01914,1.65568,-0.1,Sustainable,,,,
South Korea,35.4,2.1,3.6,3.1,2,2.9,3.9,2.9,1.9,2.6,3,2,5.4,-0.087348038,-0.023247152,-0.088084304,-0.103311329,-0.05873,1.504458599,Sustainable,,,,
Singapore,34,1.5,4,2.7,3,3.7,3.3,3.2,1.9,4.9,2.5,1.1,2.2,0.03677,2.08896,1.70552,1.37818,2.07807,1.6,Sustainable,,,,
United States,33.5,2.2,3.9,4.2,3.2,4.8,1,2.3,2.4,3.2,3,2.3,1,1.10302,1.52367,1.55724,0.64307,1.31326,0.7,Sustainable,,,,
United Kingdom,33.2,2.7,3.5,5,4.1,3.6,2.1,1.6,2.3,1.8,2.5,2.7,1.3,1.32904,1.49545,1.70504,0.4862,1.69914,0.7,Sustainable,,,,
France,32.6,2.3,1.9,5.9,4,4.3,1.9,2.2,1.5,2.4,2.7,2.2,1.4,1.21925,1.48183,1.42677,0.44874,1.32958,0.5,Sustainable,,,,
Portugal,32.6,1.6,1.3,2.3,5.4,3.4,2.6,2.1,3.5,2.7,2.8,1.6,3.3,1.06693,1.23073,1.0588,0.74876,0.95048,-0.5,Sustainable,,,,
Slovenia,32.3,2.5,1.6,3.3,3.6,4.5,3.2,2.8,2.1,2.5,2.5,1.4,2.3,1.0019,1.01316,1.00079,0.88225,0.72932,0.1,Sustainable,,,,
Belgium,30.9,2,3.9,4.1,3.5,3.8,1.8,2.1,2.2,1.5,2.5,1.6,2,1.37305,1.60734,1.43843,0.94008,1.67388,0.5,Sustainable,,,,
Germany,29.7,2.2,2,4.3,2.6,3.9,2.2,1.4,1.8,1.9,2.4,3.6,1.4,1.40618,1.54252,1.6495,0.92798,1.81381,0.3,Sustainable,,,,
Austria,26.9,1.1,2.7,4.3,1.9,4,1.6,1.5,1.5,2,2.3,2.4,1.6,1.45657,1.58848,1.85138,1.3641,1.55079,0.6,Sustainable,,,,
Netherlands,26.9,1.8,2.6,4.1,3.5,2.3,2.2,1,1.5,1,3,2.4,1.5,1.56697,1.78396,1.83508,1.14382,2.046,0.3,Sustainable,,,,
Canada,26,1.8,2.5,3.1,1.8,3.5,2.1,1.5,2,2,2.6,2.1,1,1.45349,1.78873,1.75598,1.06142,1.88683,1.2,Sustainable,,,,
Australia,25.4,1.7,1.6,3.6,2.1,3.3,1.1,1,1.8,2.2,3.3,2.7,1,1.43641,1.63987,1.77864,1.03107,1.78532,1.7,Sustainable,,,,
Ireland,24.8,1.8,1.3,1.6,3.9,2.5,2.8,1.9,1.9,1.3,2.2,1.4,2.2,1.31174,1.48534,1.73172,0.90108,1.53859,0.2,Sustainable,,,,
Iceland,24.7,1,1.8,1,3.7,1.7,2.8,1.4,1.6,1.3,1.6,1.6,5.2,1.43957,1.49005,1.66215,1.28713,1.91227,0.9,Sustainable,,,,
Luxembourg,23.3,2.3,3.4,2.8,1.5,1.5,2.1,1.9,1.3,1,1.7,1.8,2,1.6311,1.6299,1.8163,1.33525,2.12336,2.3,Sustainable,,,,
New Zealand,22.7,1.1,1.1,3.5,3.6,3.4,2.4,0.5,1.8,1.2,2.1,1.1,1,1.60608,1.7578,1.87895,1.45393,2.34176,0.8,Sustainable,,,,
Denmark,21.9,1.5,1.4,3.4,1.9,1.6,1.9,1,1.4,1.7,2.5,1.6,2,1.66627,1.99246,1.90048,0.95923,2.4049,0.4,Sustainable,,,,
Norway,21.5,2.7,1.1,3.6,1.9,1.5,1.6,0.5,1.4,1.9,2,1.9,1.3,1.73798,1.88497,1.98001,1.35209,2.29447,1.2,Sustainable,,,,
Switzerland,21.5,1.4,1,3.5,2.3,2.3,2.1,0.8,1.4,1.7,2.1,1.5,1.4,1.6281,1.82458,1.80469,1.40114,2.13242,1.1,Sustainable,,,,
Sweden,19.7,2.2,1.8,1,1.7,1.7,1.7,0.5,1.9,1.3,2.5,2.4,1,1.65811,1.90903,1.97288,1.12778,2.29162,0.8,Sustainable,,,,
Finland,18,1,1.1,1.4,3.2,1,2.3,1,1.5,1.1,1.9,1.6,1,1.57371,2.17429,1.93669,1.38517,2.20213,0.5,Sustainable,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
