Country,Total,C1,C2,C3,E1,E2,E3,P1,P2,P3,S1,S2,X1,VA,GE,RL,PS,CC,POP,TR
China,76.5,5.9,7.2,8.3,3.4,7.4,4.6,8,6.2,9.2,7.4,5.6,3.2,-1.66069,0.40802,-0.40979,-0.55029,-0.2821,0.5,Warning
Ukraine,76.3,7.9,8,7,6.5,4.7,5.5,8.5,3.8,6.4,4.5,4.4,9.1,-0.0868,-0.52352,-0.81355,-1.9618,-0.9799,-0.3,Warning
Ecuador,75.9,6.7,8.2,7.8,5.3,6.8,6.2,7,6.3,5.1,5.7,5.2,5.6,-0.21175,-0.44226,-1.02891,-0.14396,-0.67124,1.5,Warning
Tunisia,75.7,7.8,8.1,7.8,6.6,5.4,5.5,7,4.9,7,4.7,4.1,6.9,0.24201,-0.10331,-0.06155,-0.96039,-0.07223,1.2,Warning
Belarus,75.6,6.6,8.3,6.8,6.1,5.2,3.4,8.6,4.7,8.4,5.6,4.1,7.8,-1.465,-0.45877,-0.81294,0.11002,-0.33504,0.2,Warning
Indonesia,75,6.2,7,7.3,5.2,6.3,6.3,5.6,6,6.8,7.1,5.9,5.3,0.18484,-0.24053,-0.4221,-0.61506,-0.45836,1.2,Warning
Morocco,74.6,5.7,6.6,7.1,5.3,6.3,7.6,6.5,5.7,7,5.5,5.3,6,-0.62828,-0.06194,-0.08894,-0.34149,-0.22033,1.4,Warning
Turkey,74.6,7.7,7.3,9,5,6.2,3.7,6.3,4.9,6.4,5.5,7.5,5,-0.36771,0.22312,-0.11302,-1.49391,-0.15437,1.6,Warning
Maldives,74.3,6.1,7.8,4.6,6.4,4.1,5.6,8.5,6.1,7.5,5.8,4.7,7,-0.51789,-0.37579,-0.57626,0.42067,-0.47938,2,Warning
Serbia,73.8,6,8,8.1,6.7,5.3,5.3,5.7,4.7,4.9,5.5,7,6.6,0.23104,0.11124,-0.11717,0.23898,-0.26704,-0.5,Warning
Sao Tome and Principe,73.7,5.5,6.3,4.5,8.4,6.5,7.9,6.1,5.8,3.8,6.7,4.3,7.9,-0.052003418,-0.016730633,-0.050599367,-0.10203519,-0.058207215,1.446794872,Warning
Cape Verde,73.5,5.7,5.5,4,6.2,7.5,8.6,5.7,6.5,4.5,7.1,4.1,8.1,-0.052003418,-0.016730633,-0.050599367,-0.10203519,-0.058207215,1.446794872,Warning
Micronesia,73.5,5.1,5.6,4,8.1,8.4,9,6,5.7,3.1,7.1,3.2,8.3,-0.052003418,-0.016730633,-0.050599367,-0.10203519,-0.058207215,1.446794872,Warning
Moldova,73,6.6,7.8,6.5,6.3,5.3,6.4,6.3,5.4,5.4,5.3,4.4,7.3,0.02858,-0.65466,-0.35344,-0.32744,-0.91123,-0.1,Warning
Vietnam,72.4,5.1,6.9,6.5,5.8,5.5,5.6,8.1,5.2,7.8,6.1,4.7,5.1,-1.35879,0.06752,-0.33934,0.06997,-0.42619,1.1,Warning
Peru,72,7.1,6.7,7.5,3.7,7.3,6.7,7.1,7.1,4.6,5.3,4.8,4,0.22734,-0.2769,-0.48546,-0.39757,-0.53383,1.3,Warning
Mexico,71.9,8,5.1,6.4,4.6,6.6,5.8,5.9,6.8,6.5,6.2,4.4,5.5,-0.07536,0.2097,-0.44709,-0.7987,-0.76592,1.3,Warning
Ghana,71.8,4.1,4.9,4.6,6.3,7.1,7.6,5,7.9,5.2,7.1,5.5,6.6,0.49547,-0.25124,0.14205,-0.0321,-0.19783,2.3,Warning
Saudi Arabia,71.6,6.4,8,7.4,4.4,5.8,3.7,7.8,3.7,9.2,5.8,4.6,4.8,-1.84259,0.20007,0.11782,-0.6264,0.05214,2.5,Warning
